SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
SRR11487935,19,0.9201,0.0174,8.6408,0.8348,0.0283,100.0,0.8156,jams,0.0001,hilo,0.0
SRR11487931,16,0.9043,0.0219,2.8416,0.825,0.0348,68.75,0.0,jams202212,0.0001,hilo,0.0
SRR11487932,16,0.8984,0.0221,2.9141,0.8232,0.0354,68.75,0.0,jams202212,0.0001,hilo,0.0
SRR11487933,16,0.9133,0.0206,2.6511,0.835,0.0319,68.75,0.0,jams202212,0.0001,hilo,0.0
SRR11487934,16,0.9028,0.0216,2.8597,0.8273,0.0339,68.75,0.0,jams202212,0.0001,hilo,0.0
SRR11487935,16,0.9178,0.0205,2.6396,0.8358,0.0315,68.75,0.0,jams202212,0.0001,hilo,0.0
SRR11487931,30,0.9123,0.0131,9.1085,0.8034,0.028,100.0,3.6632,wgsa2,0.0001,hilo,0.0
SRR11487932,29,0.9102,0.0137,9.4455,0.8008,0.0285,100.0,3.8162,wgsa2,0.0001,hilo,0.0
SRR11487933,30,0.9192,0.0126,9.1518,0.8111,0.0257,100.0,3.7572,wgsa2,0.0001,hilo,0.0
SRR11487934,30,0.9163,0.0128,9.4864,0.8081,0.0264,100.0,3.787,wgsa2,0.0001,hilo,0.0
SRR11487935,30,0.9223,0.0123,8.9791,0.8149,0.0251,100.0,3.8416,wgsa2,0.0001,hilo,0.0
SRR11487931,55,0.4512,0.0148,12.6486,0.5933,0.0449,93.75,12.7959,woltka,0.0001,hilo,0.0
SRR11487932,56,0.4342,0.0148,12.722,0.5849,0.0456,93.75,12.9989,woltka,0.0001,hilo,0.0
SRR11487933,56,0.4428,0.0146,12.6679,0.5915,0.0448,93.75,12.6912,woltka,0.0001,hilo,0.0
SRR11487934,54,0.4562,0.0149,12.5359,0.5983,0.0449,93.75,12.4913,woltka,0.0001,hilo,0.0
SRR11487935,57,0.4508,0.0142,12.6337,0.5961,0.044,93.75,12.6258,woltka,0.0001,hilo,0.0
SRR11487931,17,0.9182,0.0168,10.9513,0.857,0.0303,87.5,0.8751,biobakery3,0.001,hilo,
SRR11487932,17,0.9074,0.0165,10.5054,0.8594,0.0309,81.25,0.9388,biobakery3,0.001,hilo,
SRR11487933,17,0.9109,0.0157,13.072,0.8669,0.0293,81.25,1.0776,biobakery3,0.001,hilo,
SRR11487934,17,0.9,0.0154,11.3667,0.8692,0.0309,87.5,1.0047,biobakery3,0.001,hilo,
SRR11487935,17,0.9153,0.0149,11.1975,0.8735,0.0283,81.25,1.1836,biobakery3,0.001,hilo,
SRR11487931,16,0.9209,0.0215,2.2141,0.8278,0.0429,100.0,0.0,biobakery4,0.001,hilo,
SRR11487932,16,0.9174,0.0223,2.236,0.8219,0.043,100.0,0.0,biobakery4,0.001,hilo,
SRR11487933,16,0.9296,0.02,2.1698,0.8398,0.0392,100.0,0.0,biobakery4,0.001,hilo,
SRR11487934,16,0.9241,0.021,2.2345,0.8324,0.0406,100.0,0.0,biobakery4,0.001,hilo,
SRR11487935,16,0.9312,0.0201,2.2836,0.8391,0.0388,100.0,0.0,biobakery4,0.001,hilo,
SRR11487931,17,0.9044,0.0208,7.938,0.8235,0.033,100.0,0.6573,jams,0.001,hilo,
SRR11487932,17,0.8983,0.021,7.3421,0.8218,0.0337,100.0,0.6677,jams,0.001,hilo,
SRR11487933,17,0.9121,0.0196,7.4425,0.8338,0.0306,100.0,0.6376,jams,0.001,hilo,
SRR11487934,17,0.9032,0.0204,7.5574,0.8263,0.0323,100.0,0.7029,jams,0.001,hilo,
SRR11487935,17,0.9175,0.0194,8.0738,0.8349,0.0299,100.0,0.7336,jams,0.001,hilo,
SRR11487931,17,0.9042,0.0207,7.6532,0.824,0.0331,100.0,0.5031,jams202212,0.001,hilo,
SRR11487932,17,0.8987,0.0209,7.0615,0.8225,0.0337,100.0,0.5485,jams202212,0.001,hilo,
SRR11487933,17,0.9123,0.0195,7.2188,0.8342,0.0306,100.0,0.5416,jams202212,0.001,hilo,
SRR11487934,17,0.9033,0.0204,7.316,0.8267,0.0323,100.0,0.521,jams202212,0.001,hilo,
SRR11487935,17,0.9174,0.0193,7.4883,0.8356,0.03,100.0,0.5483,jams202212,0.001,hilo,
SRR11487931,18,0.906,0.0217,8.0148,0.8047,0.0365,100.0,3.1457,wgsa2,0.001,hilo,
SRR11487932,20,0.9054,0.0199,9.104,0.8014,0.0345,100.0,3.5528,wgsa2,0.001,hilo,
