Species,RA,TAX_ID
Azotobacter,1.3707657113079893e-06,352
Rhodococcus,1.3707657113079893e-06,1827
Tistrella,1.3707657113079893e-06,171436
Pusillimonas,1.2653221950535286e-06,305976
Hahella,1.2653221950535286e-06,158481
Candidatus Stoquefichus,1.2653221950535286e-06,1470349
Thermobacillus,1.2653221950535286e-06,76632
Methylovulum,1.2653221950535286e-06,762296
Centipeda,1.2653221950535286e-06,82202
Phaseolibacter,1.2653221950535286e-06,1297562
Paucisalibacillus,1.2653221950535286e-06,351094
Motiliproteus,1.2653221950535286e-06,1775292
Spongiibacter,1.2653221950535286e-06,630749
Rubripirellula,1.2653221950535286e-06,1579505
Pelagirhabdus,1.2653221950535286e-06,1738642
Methylotenera,1.2653221950535286e-06,359407
Alkalibacterium,1.2653221950535286e-06,99906
Gemmata,1.2126004369262982e-06,113
Microbulbifer,1.1598786787990679e-06,48073
Neofamilia,1.1598786787990679e-06,1933048
Amphritea,1.1598786787990679e-06,515417
Thermoactinomyces,1.1598786787990679e-06,2023
Pseudoxanthomonas,1.1598786787990679e-06,83618
Oribacterium,1.1598786787990679e-06,265975
Emergencia,1.1598786787990679e-06,1926556
Oblitimonas,1.1598786787990679e-06,1849530
Oleibacter,1.1598786787990679e-06,759360
Candidatus Tachikawaea,1.0544351625446071e-06,1682492
Advenella,1.0544351625446071e-06,290425
Methylomicrobium,1.0544351625446071e-06,39773
Kerstersia,1.0544351625446071e-06,257820
Aestuariibacter,1.0544351625446071e-06,249523
Rubeoparvulum,1.0544351625446071e-06,1935206
Rhizobium,1.0544351625446071e-06,379
Anaerobacillus,1.0544351625446071e-06,704093
Paraburkholderia,1.0544351625446071e-06,1822464
Borreliella,1.0544351625446071e-06,64895
Heliobacterium,1.0544351625446071e-06,2697
Edaphobacillus,1.0544351625446071e-06,1881091
Lampropedia,1.0544351625446071e-06,198705
Jeongeupia,1.0544351625446071e-06,885864
Azospirillum,1.0544351625446071e-06,191
Cystobacter,1.0017134044173768e-06,42
Kangiella,1.0017134044173768e-06,261963
Magnetospirillum,9.489916462901465e-07,13134
Chitinophaga,9.489916462901465e-07,79328
Ureibacillus,9.489916462901465e-07,160795
Kitasatospora,9.489916462901465e-07,2063
Gottschalkia,9.489916462901465e-07,1505664
Pseudogulbenkiania,9.489916462901465e-07,568394
Enhydrobacter,9.489916462901465e-07,212791
Thiocapsa,9.489916462901465e-07,1056
Nitrosococcus,9.489916462901465e-07,1227
Candidatus Marithrix,9.489916462901465e-07,1031282
Oenococcus,9.489916462901465e-07,46254
Kinetoplastibacterium,9.489916462901465e-07,33055
Alcaligenes,9.489916462901465e-07,507
Bradyrhizobium,9.489916462901465e-07,374
Salinicola,9.489916462901465e-07,404432
Gulbenkiania,9.489916462901465e-07,397456
Citreicella,9.489916462901465e-07,282682
Tropicibacter,8.962698881629161e-07,599653
Leucothrix,8.435481300356858e-07,45247
Veillonella,8.435481300356858e-07,29465
Desulfotalea,8.435481300356858e-07,109168
Wohlfahrtiimonas,8.435481300356858e-07,582472
Methylomonas,8.435481300356858e-07,416
Methylobacter,8.435481300356858e-07,429
Caldicellulosiruptor,8.435481300356858e-07,44000
Candidatus Hamiltonella,8.435481300356858e-07,568987
Candidimonas,8.435481300356858e-07,1074468
Vogesella,8.435481300356858e-07,57739
Shuttleworthia,8.435481300356858e-07,177971
Pseudohongiella,8.435481300356858e-07,1524249
Necropsobacter,8.435481300356858e-07,908284
Lunatimonas,8.435481300356858e-07,1774589
Acidaminococcus,8.435481300356858e-07,904
Pseudospirillum,8.435481300356858e-07,196078
Beduini,8.435481300356858e-07,1922299
Paraclostridium,8.435481300356858e-07,1849822
Helicobacter,7.908263719084554e-07,209
Burkholderia,7.38104613781225e-07,32008
Salinibacillus,7.38104613781225e-07,320933
Terasakiispira,7.38104613781225e-07,1861843
Pelosinus,7.38104613781225e-07,365348
Succinivibrio,7.38104613781225e-07,83770
Thalassolituus,7.38104613781225e-07,187492
Acidilobus,7.38104613781225e-07,105850
Asaccharospora,7.38104613781225e-07,1505660
Acetobacter,7.38104613781225e-07,434
Alteribacillus,7.38104613781225e-07,1433300
Desmospora,7.38104613781225e-07,500614
Erysipelothrix,7.38104613781225e-07,1647
Mitsuokella,7.38104613781225e-07,52225
Fusibacter,7.38104613781225e-07,76008
Desulfovibrio,7.38104613781225e-07,872
Desulfobulbus,7.38104613781225e-07,893
Hydrogenophaga,7.38104613781225e-07,47420
Bifidobacterium,7.38104613781225e-07,1678
Tenuibacillus,7.38104613781225e-07,286800
Chondromyces,6.853828556539947e-07,50
Dolosigranulum,6.326610975267643e-07,29393
Alicyclobacillus,6.326610975267643e-07,29330
Candidatus Moranella,6.326610975267643e-07,1048757
Saccharophagus,6.326610975267643e-07,316625
Rugosibacter,6.326610975267643e-07,1914449
Parvibaculum,6.326610975267643e-07,256616
Oleispira,6.326610975267643e-07,188907
Cobetia,6.326610975267643e-07,204286
Aidingimonas,6.326610975267643e-07,1395977
Acetobacterium,6.326610975267643e-07,33951
Methylophilus,6.326610975267643e-07,16
Halioglobus,6.326610975267643e-07,1217416
Bermanella,6.326610975267643e-07,599651
Herbaspirillum,6.326610975267643e-07,963
Thiorhodovibrio,6.326610975267643e-07,61593
Dasania,6.326610975267643e-07,503005
Azoarcus,6.326610975267643e-07,12960
Pseudobutyrivibrio,6.326610975267643e-07,46205
